Station_ID,TimeStamp,CurrentLevel(m),Trend
RVG0282,20-07-2021_08,1.94,downward
RVG0285,20-07-2021_09,1.76,neither
RVG0287,20-07-2021_09,16.2,neither
RVG0289,20-07-2021_08,10.04,downward
RVG0290,20-07-2021_09,3.39,downward
RVG0291,20-07-2021_09,4.93,downward
RVG0292,20-07-2021_08,4.13,downward
RVG0293,20-07-2021_09,5.06,downward
RVG0294,20-07-2021_09,2.39,neither
RVG0295,20-07-2021_09,2.48,upward
RVG0297,20-07-2021_09,2.2,neither
RVG0298,20-07-2021_08,47.64,downward
RVG0299,20-07-2021_08,2.0,downward
RVG0300,20-07-2021_09,3.44,neither
RVG0301,20-07-2021_09,9.57,neither
RVG0302,20-07-2021_08,60.69,upward
RVG0303,20-07-2021_09,12.7,downward
RVG0304,20-07-2021_08,3.81,downward
RVG0306,20-07-2021_09,7.58,neither
RVG0307,20-07-2021_08,792.08,downward
