Station_ID,River-Tributary,River,Station,Warning Level (WL),Danger Level (DL),Highest Flood Level (HFL),HFL Attained Date,Latitude,Longitude
,Shiriya,Shiriya,ADKASTHALA,97.5,98.5,100.05,,,
RVG0282,Chalakudy ,Chalakudy ,ARANGALI,7.1,8.1,10.58,8/16/2018,10.28,76.31
,Ithikkara,Ithikkara,ARKKANNUR,86,87,86.37,8/16/2018,,
,Neyyar,Neyyar,ARUVIPURAM,93.5,95,99.39,8/15/2018,,
RVG0285,Vamanapuram,Vamanapuram,AYILAM,6,8.5,10.685,10/10/1992,8.72,76.86
,Chaliyar-Kudhirapuzha,Chaliyar,CHAKKALAKUTH,17.9,18.9,20.315,8/9/2019,,
RVG0287,Payaswani,Payaswani,ERINJIPUZHA,18.03,19.03,18.89,8/10/2019,12.49,75.16
RVG0289,Muttaupuzha-Kaliyar,Muvattupuzha,KALAMPUR,12.64,13.64,17.47,8/16/2018,,
,Meenachil,Meenachil,KALATHUKADAVU,32.8,33.8,,,,
RVG0290,Manimala,Manimala,KALLOOPPARA,5,6,9.64,8/16/2018,9.4,76.65
RVG0291,Kadalundi,Kadalundi,KARATHODU,12,13,14.7,8/17/2019,11.06,76.04
RVG0292,Meenachil,Meenachil,KIDANGOOR,6.16,7.16,9.4,8/16/2018,9.68,76.61
,Bharathapuzha-Gayatri,Bharathapuzha,KONDAZHY,32.2,33.3,,,,
,Keecheri,Keecheri,KOTTAPURAM,23.5,25,,,,
RVG0293,Bharathapuzha,Bharathapuzha,KUMBIDI,8.2,9.2,11.27,8/17/2018,10.84,76.04
RVG0294,Chaliyar,Chaliyar,KUNIYIL,10.85,11.85,12.14,8/9/2019,11.24,76.03
RVG0295,Kuttyadi,Kuttyadi,KUTTYADI,5.95,6.95,8.7,8/8/2019,11.65,75.77
,Pamba,Pamba,MADAMON,100,101,111,8/15/2018,,
RVG0297,Pamba,Pamba,MALAKKARA,6,7,9.58,8/16/2018,9.33,76.66
,Muvattupuzha-Thodupuzha,Muvattupuzha,MANAKKAD,36.5,37.5,,,,
,Manimala,Manimala,MANIKAL,77.4,78.4,,,,
RVG0298,Bharathapuzha,Bharathapuzha,MANKARA,51.53,52.53,52.53,8/16/2018,10.76,76.49
RVG0299,Periyar,Periyar,NEELEESWARAM,9,10,12.4,8/19/2018,10.18,76.5
,Kallada,Kallada,NELLIPALLI,19,20,21.5,,,
,Karuvannur,Karuvannur,PALAKADAVU,8.3,9.3,10.29,8/10/2019,,
,Muttaupuzha-Kothamangalam,Muvattupuzha,PALLIPPADY,23.8,24.8,,,,
RVG0300,Kallada,Kallada,PATTAZHY,7,8,13.805,11/15/1992,9.06666666666667,76.7611111111111
RVG0301,Valapatnam,Valapatnam,PERUMANNU,17.2,18.2,18.28,8/9/2019,11.9694444444444,75.5875
,Chaliyar,Chaliyar,PERUVAMPADAM,26.5,27.5,26.7,8/8/2019,,
,Chandragiri,Chandragiri,POOKKAYAM,36.2,37.2,,,,
RVG0302,Bharathapuzha,Bharathapuzha,PUDUR,63.5,64.5,65.14,8/16/2018,10.78,76.58
RVG0303,Bharathapuzha,Bharathapuzha,PULAMANTHOLE,15.6,16.6,20.25,8/9/2019,10.9,76.2
,Manimala,Manimala,PULLAKKAYAR,96.2,97.2,,,,
RVG0304,Muttaupuzha,Muvattupuzha,RAMAMANGALAM,8,9,9.8,8/17/2019,9.94,76.47
,Chaliyar-Iruvazhinjipuzha,Chaliyar,THOTTATHINKADAVU,31.8,32.8,,,,
RVG0306,Achankovil,Achankovil,THUMPAMON,9,10,13.735,11/7/1978,9.22,76.71
RVG0307,Periyar,Periyar,VANDIPERIYAR,794.2,795.2,797,8/16/2018,9.57,77.09
,Karamana,Karamana,VELLAIKADAVU,92,93,97,,,
